DATE,DCOILBRENTEU
2014-12-01,62.3350000000000000
2015-01-01,47.7595000000000000
2015-02-01,58.0955000000000000
2015-03-01,55.8854545454545455
2015-04-01,59.5242857142857143
2015-05-01,64.0750000000000000
2015-06-01,61.4777272727272727
2015-07-01,56.5613043478260870
2015-08-01,46.5150000000000000
2015-09-01,47.6231818181818182
2015-10-01,48.4300000000000000
2015-11-01,44.2676190476190476
2015-12-01,38.0054545454545455
2016-01-01,30.6995000000000000
2016-02-01,32.1815000000000000
2016-03-01,38.2104545454545455
2016-04-01,41.5833333333333333
2016-05-01,46.7423809523809524
2016-06-01,48.2472727272727273
2016-07-01,44.9519047619047619
2016-08-01,45.8430434782608696
2016-09-01,46.5677272727272727
2016-10-01,49.5223809523809524
2016-11-01,44.7340909090909091
2016-12-01,53.3085000000000000
2017-01-01,54.5766666666666667
2017-02-01,54.8695000000000000
2017-03-01,51.5891304347826087
2017-04-01,52.3078947368421053
2017-05-01,50.3265217391304348
2017-06-01,46.3681818181818182
2017-07-01,48.4785714285714286
2017-08-01,51.7043478260869565
2017-09-01,56.1528571428571429
2017-10-01,57.5077272727272727
2017-11-01,62.7140909090909091
2017-12-01,64.3736842105263158
2018-01-01,69.0772727272727273
2018-02-01,65.3175000000000000
2018-03-01,66.0166666666666667
2018-04-01,72.1060000000000000
2018-05-01,76.9752380952380952
2018-06-01,74.4047619047619048
2018-07-01,74.2540909090909091
2018-08-01,72.5282608695652174
2018-09-01,78.8910000000000000
2018-10-01,81.0321739130434783
2018-11-01,64.7481818181818182
2018-12-01,57.3623529411764706
2019-01-01,59.4095454545454545
2019-02-01,63.9605000000000000
2019-03-01,66.1385714285714286
2019-04-01,71.2333333333333333
2019-05-01,71.3177272727272727
2019-06-01,64.2205000000000000
2019-07-01,63.9191304347826087
2019-08-01,59.0418181818181818
2019-09-01,62.8266666666666667
2019-10-01,59.7130434782608696
2019-11-01,63.2119047619047619
2019-12-01,67.2171428571428571
2020-01-01,63.6454545454545455
2020-02-01,55.6570000000000000
2020-03-01,32.0113636363636364
2020-04-01,18.3785000000000000
2020-05-01,29.3789473684210526
2020-06-01,40.2668181818181818
2020-07-01,43.2421739130434783
2020-08-01,44.7360000000000000
2020-09-01,40.9095454545454545
2020-10-01,40.1895454545454545
2020-11-01,42.6923809523809524
2020-12-01,49.9936363636363636
2021-01-01,54.7740000000000000
2021-02-01,62.2765000000000000
2021-03-01,65.4100000000000000
2021-04-01,64.8065000000000000
2021-05-01,68.5342105263157895
2021-06-01,73.1640909090909091
2021-07-01,75.1659090909090909
2021-08-01,70.7471428571428571
2021-09-01,74.4886363636363636
2021-10-01,83.5380952380952381
2021-11-01,81.0500000000000000
2021-12-01,74.1704761904761905
2022-01-01,86.5052380952380952
2022-02-01,97.1290000000000000
2022-03-01,117.2452173913043478
2022-04-01,104.5752631578947368
2022-05-01,113.3376190476190476
