Date,BTC-USD,ETH-USD,XRP-USD,ADA-USD,DOGE-USD
2019-04-30,5350.7265625,162.16603088378906,0.30947598814964294,0.07034599781036377,0.0025130000431090593
2019-05-01,5402.697265625,160.81834411621094,0.3046959936618805,0.06901399791240692,0.0025210001040250063
2019-05-02,5505.28369140625,162.12278747558594,0.30323898792266846,0.06857900321483612,0.0026110000908374786
2019-05-03,5768.28955078125,167.95240783691406,0.3082219958305359,0.06985799968242645,0.0027209999971091747
2019-05-04,5831.16748046875,164.02658081054688,0.30455198884010315,0.066880002617836,0.00267999991774559
2019-05-05,5795.70849609375,163.45069885253906,0.3023419976234436,0.06614600121974945,0.002652999944984913
2019-05-06,5746.80712890625,172.65321350097656,0.302388995885849,0.06678000092506409,0.0025420000310987234
2019-05-07,5829.50146484375,169.7986602783203,0.29968398809432983,0.06403599679470062,0.002535999985411763
2019-05-08,5982.45751953125,170.9481658935547,0.3007209897041321,0.06460600346326828,0.0025369999930262566
2019-05-09,6174.52880859375,170.289306640625,0.2965089976787567,0.06169100105762482,0.0024999999441206455
2019-05-10,6378.84912109375,173.1427459716797,0.3003869950771332,0.06342799961566925,0.0025220001116394997
2019-05-11,7204.771484375,194.30433654785156,0.3245429992675781,0.07517100125551224,0.0027540000155568123
2019-05-12,6972.37158203125,187.3253173828125,0.31007400155067444,0.07008600234985352,0.0026650000363588333
2019-05-13,7814.9150390625,196.84628295898438,0.3254750072956085,0.07307200133800507,0.002756000030785799
2019-05-14,7994.416015625,217.14857482910156,0.409061998128891,0.08450499922037125,0.003068000078201294
2019-05-15,8205.16796875,247.15306091308594,0.4560050070285797,0.09395100176334381,0.0033080000430345535
2019-05-16,7884.9091796875,264.010009765625,0.4197070002555847,0.08816099911928177,0.0031679999083280563
2019-05-17,7343.8955078125,243.76458740234375,0.38619300723075867,0.08325999975204468,0.0029619999695569277
2019-05-18,7271.2080078125,234.59523010253906,0.37273600697517395,0.0791039988398552,0.003005000064149499
2019-05-19,8197.689453125,261.2922058105469,0.41769999265670776,0.08699599653482437,0.00317799998447299
