Date,BTC-USD,ETH-USD,XRP-USD,SOL-USD,LUNA1-USD,ADA-USD,AVAX-USD,DOT-USD,DOGE-USD,MATIC-USD
2021-10-31,61318.95703125,4288.07421875,1.113247036933899,202.4210205078125,42.889774322509766,1.9650260210037231,64.28780364990234,42.742095947265625,0.28024399280548096,1.9350030422210693
2021-11-01,61004.40625,4324.626953125,1.0928670167922974,203.5450897216797,44.05930709838867,1.9500019550323486,65.07251739501953,49.98225402832031,0.2717280089855194,1.9038970470428467
2021-11-02,63226.40234375,4584.798828125,1.1361960172653198,220.23959350585938,44.755489349365234,1.9713770151138306,67.58455657958984,51.631351470947266,0.2731209993362427,1.9375050067901611
2021-11-03,62970.046875,4607.19384765625,1.2087960243225098,242.89881896972656,48.061790466308594,2.0637009143829346,75.430419921875,53.443702697753906,0.2694070041179657,2.0345981121063232
2021-11-04,61452.23046875,4537.32421875,1.202003002166748,247.3877716064453,51.922386169433594,1.9848819971084595,79.29322052001953,53.88173294067383,0.2632800042629242,1.9170409440994263
2021-11-05,61125.67578125,4486.2431640625,1.161532998085022,236.47433471679688,49.97332000732422,1.9862060546875,74.36473846435547,51.89467239379883,0.26146501302719116,1.9014639854431152
2021-11-06,61527.48046875,4521.5810546875,1.1524540185928345,258.934326171875,51.179832458496094,2.0066089630126953,78.6852035522461,52.00921630859375,0.261898010969162,1.8848860263824463
2021-11-07,63326.98828125,4620.5546875,1.2175339460372925,249.823486328125,50.61323165893555,2.021872043609619,87.7054214477539,52.27798080444336,0.2663150131702423,1.884112000465393
2021-11-08,67566.828125,4812.08740234375,1.282377004623413,248.46717834472656,54.15776062011719,2.1244189739227295,91.18478393554688,53.34845733642578,0.2823590040206909,1.8940470218658447
2021-11-09,66971.828125,4735.06884765625,1.258929967880249,239.213134765625,50.23533630371094,2.2734830379486084,88.45486450195312,50.779361724853516,0.27352601289749146,1.77646803855896
2021-11-10,64995.23046875,4636.17431640625,1.1933729648590088,233.77952575683594,48.788299560546875,2.101802110671997,85.29527282714844,46.87133026123047,0.2557089924812317,1.7056560516357422
2021-11-11,64949.9609375,4730.38427734375,1.2183640003204346,234.24075317382812,50.59540557861328,2.085524082183838,88.06133270263672,47.64762496948242,0.2611669898033142,1.7595410346984863
2021-11-12,64155.94140625,4667.115234375,1.1893550157546997,228.50209045410156,49.55778884887695,2.0457661151885986,84.72491455078125,45.88080596923828,0.2594139873981476,1.7157000303268433
2021-11-13,64469.52734375,4651.46044921875,1.191938042640686,241.8250274658203,52.17427062988281,2.0531039237976074,97.26046752929688,47.12905502319336,0.26170599460601807,1.754876971244812
2021-11-14,65466.83984375,4626.35888671875,1.1885969638824463,238.42552185058594,51.06683349609375,2.0408530235290527,95.4035415649414,46.40182113647461,0.26291200518608093,1.7296680212020874
2021-11-15,63557.87109375,4557.50390625,1.1713709831237793,237.55360412597656,48.050052642822266,2.015587091445923,93.55023193359375,44.688716888427734,0.2565290033817291,1.6917239427566528
2021-11-16,60161.24609375,4216.365234375,1.0909340381622314,219.23902893066406,43.249454498291016,1.8772350549697876,97.97557067871094,40.899314880371094,0.2372490018606186,1.5629819631576538
2021-11-17,60368.01171875,4287.59375,1.096290946006775,218.71524047851562,43.14719772338867,1.875540018081665,107.80207824707031,42.70829391479492,0.23748700320720673,1.6347359418869019
2021-11-18,56942.13671875,4000.65087890625,1.0419540405273438,195.48741149902344,40.28295135498047,1.7883310317993164,100.25276947021484,39.04596710205078,0.2213830053806305,1.4982490539550781
2021-11-19,58119.578125,4298.306640625,1.0914920568466187,215.28001403808594,42.42362594604492,1.8647929430007935,112.0235595703125,41.26102066040039,0.2331099957227707,1.6179649829864502
2021-11-20,59697.1953125,4409.93115234375,1.0976459980010986,218.01527404785156,45.116519927978516,1.9217360019683838,125.7706298828125,42.060428619384766,0.233024001121521,1.6646909713745117
2021-11-21,58730.4765625,4269.73291015625,1.0601730346679688,231.28262329101562,43.60243225097656,1.8397630453109741,128.59982299804688,42.005706787109375,0.22632800042629242,1.6024030447006226
2021-11-22,56289.2890625,4088.457763671875,1.0366220474243164,215.73727416992188,41.073829650878906,1.7765549421310425,134.53103637695312,39.447872161865234,0.21967600286006927,1.558411955833435
2021-11-23,57569.07421875,4340.763671875,1.0670570135116577,221.83689880371094,42.6877326965332,1.7505029439926147,123.83104705810547,40.79104232788086,0.22651199996471405,1.7532110214233398
2021-11-24,56280.42578125,4239.9814453125,1.0420750379562378,214.92153930664062,41.357120513916016,1.6864229440689087,120.22818756103516,39.36941909790039,0.2218250036239624,1.680279016494751
2021-11-25,57274.6796875,4274.7431640625,1.0318880081176758,206.25299072265625,40.04566192626953,1.6513450145721436,122.64852905273438,38.45594787597656,0.21632599830627441,1.7870880365371704
2021-11-26,53569.765625,4030.908935546875,0.9363499879837036,191.51174926757812,40.76668930053711,1.5284199714660645,103.82958221435547,34.38590621948242,0.20088699460029602,1.6318609714508057
